Cls-name,I-AUROC,P-AUROC,I-AP,P-AP,I-F1,P-F1,PRO,Speed
bottle,99.6,98.85,99.87,80.68,98.44,77.93,96.45,67.3
cable,88.23,88.64,91.44,40.78,86.96,49.5,85.84,76.34
capsule,93.38,98.59,98.44,39.02,95.41,45.11,94.55,73.98
hazelnut,96.36,98.07,98.28,56.57,94.29,57.05,93.63,70.11
metal_nut,94.97,89.04,98.64,54.26,96.88,55.12,89.0,31.45
pill,88.27,96.33,97.8,59.38,92.16,61.34,94.65,80.94
screw,95.08,99.13,98.2,21.91,93.72,38.37,95.5,29.71
toothbrush,98.33,98.97,99.3,54.47,98.36,61.42,93.29,41.97
transistor,97.58,93.82,96.17,66.35,96.2,64.18,86.4,54.22
zipper,95.59,98.6,98.26,67.37,97.52,69.31,95.91,73.28
carpet,99.84,98.79,99.95,69.26,98.88,68.54,97.02,61.11
grid,91.65,96.05,97.19,43.01,91.07,48.38,88.54,61.32
leather,100.0,99.12,100.0,55.81,100.0,54.51,98.34,72.16
tile,99.86,92.73,99.94,54.19,99.41,66.68,84.87,67.5
wood,99.04,92.71,99.72,51.91,97.48,54.87,91.68,54.2
Average,95.85,95.96,98.21,54.33,95.78,58.15,92.38,61.04
